ClientId;FirstName;LastName;NumberOfPassport;SeriesOfPassport;Phone;DateOfBirth;BonusDiscount
87b16337-701f-48cd-9212-8d1849addb60;Говард;Лавкрафт;7777;666666;77956730;08/11/1996 21:00:00;10
0d86ba1b-a580-4c6a-8cc6-5f2e77d25cfb;Павел;Коэльо;6666;111986;77956730;08/11/1990 21:00:00;5
61a1853f-ec81-404b-83c3-d4c1a7cd5990;Павел;Коэльо;9997;111666;77956730;08/11/1990 21:00:00;5
b70351d9-1cfb-497b-bee6-5ba597091fd5;Иван;Иванов;4444;333986;77956730;08/11/1990 21:00:00;5
3b9500d1-e948-47ff-9d6a-dfc6f5b80ad2;Бобров;Овчинников;69756;500294;(949)981-86-55;01/13/1957 22:00:00;0
049ef39f-53fb-4b31-a707-991fe60f5e81;John;Johanson;356223435;I-ПР;66748563;05/04/1998 21:00:00;0
d71912b6-988b-425c-bdb8-561576b94caf;John;Wick;2367;PR -56;077888876;05/05/2000 21:00:00;0
697693b4-3bf4-4faa-9dfe-14c0008a47f9;John;Wick;2367;PR -96;077888875;05/05/2000 21:00:00;0
b3071524-3f9b-440e-8e87-c9a1797a385f;Фадеев;Нестеров;91693;713684;(936)561-31-10;06/16/1985 21:00:00;0
a0e10926-fb35-44a5-b934-35e4d6cd4403;Emily;Wick;2367;PR -56;077888874;05/05/2000 21:00:00;0
ed241da0-7b95-4865-9ec0-dd90dc683f41;Зиновьев;Фролов;38042;307628;(965)560-74-98;09/23/2001 21:00:00;0
7a1a9536-ef8f-4a22-a06f-7f9908167715;Капустин;Зимина;35304;101141;(917)439-62-93;10/29/1953 22:00:00;0
5fa2feb0-ac22-4dd6-9038-fdc5b330b57d;Смирнов;Маслов;63599;489668;(959)549-02-90;12/17/1963 22:00:00;0
b86fefbf-a3e4-4229-8cfb-f68efe17d035;Александр;Александров;25499;876768;77956734;08/11/2000 21:00:00;5
12d208dc-3b5b-42a5-8636-d069d130310e;Цветкова;Афанасьева;80054;609964;(969)551-35-67;01/15/1991 22:00:00;0
774fb1bc-d73e-4ef7-b9ae-dba0fb140b04;Смирнов;Игнатов;40167;920243;(972)084-51-20;02/01/1979 22:00:00;0
915fd1b0-1cef-41d7-83d8-53af9e024dbc;Трофимов;Мишина;63167;210341;(904)339-61-77;06/11/2001 21:00:00;0
da67c757-82d9-4feb-9007-69258155bcbb;John;Wick;2367;PR -56;077888870;05/05/2000 21:00:00;0
e7a59a94-0c7f-4f68-91c2-96a5382d4871;Исакова;Бирюков;96176;158180;(947)655-42-40;03/12/1942 22:00:00;0
ba2d996d-b832-4373-83be-6348fa9caa01;John;Wick;2367;PR -96;077888877;05/05/1978 21:00:00;0
71f12abf-f64b-4acb-873c-eed50d8f30e9;Панова;Артемьев;38607;793384;(925)414-51-30;03/10/1975 22:00:00;0
3b29f042-93b5-4c44-8833-8d41162aba65;Emily;Wick;2367;PR -56;077888878;05/05/1954 21:00:00;0
08188b90-d246-465a-8bbb-69c5ff92890d;Tom;Holland;9854;657755;77768000;08/11/2000 21:00:00;0
acf9fa9b-bb9f-4ef2-b74b-74a1cec5e1eb;John;Wick;2367;PR -56;077888873;05/05/2000 21:00:00;0
cc3c0ad0-6649-468d-b68e-41a5b3e04d1e;Dave;Wikc;2367;PR -96;077888872;05/05/1999 21:00:00;0
0d54b12d-3ed2-4aae-b4cd-55177b53bf8d;Emily;Wick;6865;PR -56;077888871;05/05/1998 21:00:00;0
8fd58bb9-eca7-404c-ab0a-e8b42723a5a9;Говард;Лавкрафт;7777;666666;77956730;08/11/1996 21:00:00;10
ec54f78d-0ab5-4599-a393-4e011c0950d2;Павел;Коэльо;6666;111986;77956730;08/11/1990 21:00:00;5
6bcf1d8e-62e0-4c53-a073-fac18a909189;Павел;Коэльо;9997;111666;77956730;08/11/1990 21:00:00;5
0a537c54-eb69-4d17-aac4-322b4810c372;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
ef623a13-907e-4ffc-9d50-5eca0d7408d2;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
f2a6b1c6-59dd-473f-8569-d835ffb97dc0;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
96b3be5f-fe90-4b2c-b6b5-15d44226c2a7;Иван;Иванов;4444;333986;77956730;08/11/1990 21:00:00;5
d4eefc38-ab37-43ea-863f-303784fe2f1c;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
0dffe5c8-da5b-441a-948b-5cd02435e760;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
8b9ce3d6-3198-49de-a832-11e256768631;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
e0919db1-962f-49c0-b41e-25695c69bc35;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
5bda116c-fa09-4954-90e4-e279d94ad000;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
73acbec8-b296-4d40-a1fc-7b15f5149a0c;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
31fa6492-438f-4854-8942-90c90973b6fc;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
2d766ea1-42cb-4f4f-868d-7600a500ea60;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
0b25e358-c0c8-4361-9386-60bf6e264155;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
95c28e93-d2b2-4501-9a08-f8b007ef8564;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
8bb9ef12-c091-482b-835b-ac19ec1b7ac6;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
f12e19b3-36c4-48ba-9877-cf7f6a12f18c;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
06678a5a-87f0-4ea7-acb0-e9a92410aa0f;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
0943c5a6-f87e-4710-b5b4-779626f23b0b;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
f61d4603-2591-4e89-bc9a-60c166a5ed67;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
80119f5f-f086-43d3-9dc0-f2dfa68187f1;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
da5a912f-b322-42d9-bc06-b1a89e1fb505;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
f72ff304-7a81-4ec0-a15f-5ac4718c3bbf;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
3e2850fa-6cd7-4f21-8f97-96f9633acaf0;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
9bc2ecbb-7a92-4b56-89d2-5d2603d557e2;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
5f0caa85-7127-4075-bb3d-fee1a6f65297;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
822bc8c2-80a9-41e4-8608-f43dc88b26e5;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
78bcbb40-d6c6-4187-a1a2-5458471494de;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
0665b9cc-6ca3-4351-b20f-2aa1e392bd16;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
f2edc18f-1662-4040-8c88-d3e3b7166886;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
802610d8-6bab-4160-bff0-f068762edf12;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
9e6d60d3-ef9a-4ad0-a008-d22b432607e0;John;Wick;2367;PR -56;077888876;05/05/2000 21:00:00;0
5bfc1684-0871-4e1e-a244-17ed0ae9d839;John;Wick;2367;PR -96;077888875;05/05/2000 21:00:00;0
be72cc08-ef5f-4db9-ac76-c804dedc2d9e;Emily;Wick;2367;PR -56;077888874;05/05/2000 21:00:00;0
237c0bc1-98f4-480d-b344-bf9d96b052b6;John;Johanson;356223435;I-ПР;66748563;05/04/1998 21:00:00;0
dcbfc2a5-57ea-40fe-bc53-04a98e6933f4;John;Wick;2367;PR -56;077888870;05/05/2000 21:00:00;0
8bd571cc-35d9-4862-9591-6d6203aa6755;John;Wick;2367;PR -96;077888877;05/05/1978 21:00:00;0
4d621a58-e477-4685-b29d-7d748af0e576;Emily;Wick;2367;PR -56;077888878;05/05/1954 21:00:00;0
62809c8c-298d-4ba6-85a8-77f9586a718c;John;Wick;2367;PR -56;077888873;05/05/2000 21:00:00;0
fb7b0557-ac13-475a-93c9-52b929a479c4;Dave;Wikc;2367;PR -96;077888872;05/05/1999 21:00:00;0
566d514b-9fa2-404d-b410-e9cabfcad417;Emily;Wick;6865;PR -56;077888871;05/05/1998 21:00:00;0
232ef505-dc33-42cb-8b18-398f3e5d106a;Белозерова;Зуев;51866;942527;(989)476-17-43;04/05/1960 21:00:00;0
f2289d0f-077c-4f25-b22d-39ebab36c3c9;Симонов;Беляева;53120;762238;(919)648-72-08;05/23/1988 21:00:00;0
07a07213-1190-4b7e-9af2-42371c9a2b83;Мясникова;Сидорова;45662;354953;(905)724-23-96;06/02/1948 21:00:00;0
73bebf60-0edb-455d-ad67-ea1b125cfbde;Самсонов;Богданов;61025;228683;(929)726-14-30;09/14/1958 21:00:00;0
8f226425-c896-40e6-8d6e-edff65cf6a56;Горшков;Орехов;31668;850245;(939)775-62-92;12/31/1968 22:00:00;0
a5740dc3-04e0-4667-9a6d-6196ce313267;Александр;Александров;25499;876768;77956734;08/11/2000 21:00:00;5
501b6d8a-cce2-47cf-bef2-aad30395eaf5;Орехов;Гордеев;34789;793725;(984)551-70-44;12/16/1981 22:00:00;0
afd04fdc-faf8-4458-acc0-e2375960bf18;Кудряшов;Лебедев;54875;285396;(925)259-33-99;08/07/1966 21:00:00;0
ab35dff9-a61f-4e69-a2d9-ef20369f5ac5;Константинова;Архипова;64796;353835;(997)033-35-55;01/28/1954 22:00:00;0
034b3c0b-c917-47ba-ac4f-baa949cfbc4c;Михеева;Вишняков;12495;994060;(978)115-34-54;04/08/1962 21:00:00;0
0d6e9763-8a9c-41b4-8f2b-af15d11e3d07;Соловьева;Веселова;17155;380180;(996)626-13-88;11/15/1984 22:00:00;0
d274f97d-63bc-4fd7-b082-c646aeea0797;Tom;Holland;9854;657755;77768000;08/11/2000 21:00:00;0
1bb5c4b3-a319-4e48-920b-ee03383b4b9a;Говард;Лавкрафт;7777;666666;77956730;08/11/1996 21:00:00;10
cce427a9-d695-4579-b103-6e229845cd66;Павел;Коэльо;6666;111986;77956730;08/11/1990 21:00:00;5
1995067a-f263-4d8c-aedd-28ee48851506;Павел;Коэльо;9997;111666;77956730;08/11/1990 21:00:00;5
6c9e9146-0791-4ff3-a99c-294c7a438e7c;Иван;Иванов;4444;333986;77956730;08/11/1990 21:00:00;5
cfa179ed-03fc-4683-93f1-23780766adea;Колесников;Филиппов;82055;580025;(998)325-94-68;01/20/1954 22:00:00;0
1f6d07f3-9cd9-4f23-8c01-4f3fac6df69d;John;Wick;2367;PR -56;077888876;05/05/2000 21:00:00;0
10953dd6-456f-4497-9974-135f6030d766;John;Wick;2367;PR -96;077888875;05/05/2000 21:00:00;0
9c471e3a-5236-4d90-9b10-b438caad74b4;Авдеева;Александрова;83967;649658;(935)761-03-04;01/15/1993 22:00:00;0
dceda8a8-1d39-4d9f-a628-7eaf691c5da4;Emily;Wick;2367;PR -56;077888874;05/05/2000 21:00:00;0
2d4f7df1-34ba-44db-b0a0-5d52c676e211;Никонова;Ситников;61295;461880;(966)177-83-29;02/07/1975 22:00:00;0
1284ad9a-e234-4c13-9706-7145f47e43c2;Королев;Васильева;30789;796041;(964)702-41-11;07/24/1953 21:00:00;0
d0f5014e-a6c2-4e7d-9a1a-36a8fa338ec0;Сидоров;Осипов;26075;259060;(991)126-29-38;02/12/1986 22:00:00;0
13281693-ccc3-43ce-a3a4-6db07869e80b;Александр;Александров;25499;876768;77956734;08/11/2000 21:00:00;5
68d19e1f-20ee-4215-80a5-2bb7688a2b1a;John;Wick;2367;PR -56;077888870;05/05/2000 21:00:00;0
e05c7f6b-1f14-46f3-b8f5-473beb47cfc7;John;Wick;2367;PR -96;077888877;05/05/1978 21:00:00;0
15078699-cec0-4347-a5ac-b21ad10a8505;Emily;Wick;2367;PR -56;077888878;05/05/1954 21:00:00;0
fddc01b6-abf7-4521-9ef1-830121e8359b;Лаврентьев;Анисимов;36134;165838;(954)939-79-19;05/09/1976 21:00:00;0
7c5a37e8-018a-4a31-bb7b-0523d153b3b5;Доронина;Бурова;31484;324897;(904)657-31-56;04/04/1949 21:00:00;0
d5a495ec-f482-49e3-954e-565504425079;Александров;Кулакова;50509;696198;(992)545-01-80;12/14/1963 22:00:00;0
f4003576-7952-4e9b-ba54-aafaeb7dfa12;Ершов;Константинов;46559;281264;(920)919-65-87;01/23/1945 22:00:00;0
ac8a250f-b6e8-46e5-8ab3-4312c0194e07;Воробьев;Васильев;84550;907086;(942)419-01-68;06/20/1962 21:00:00;0
da2689d3-ef36-410c-909e-418b19103d82;Tom;Holland;9854;657755;77768000;08/11/2000 21:00:00;0
1fddd03f-0e89-4a36-b619-87826a1ff27e;Говард;Лавкрафт;7777;666666;77956730;08/11/1996 21:00:00;10
7ba11e03-3a25-4aa4-bb1c-7ad13cc0c173;John;Wick;2367;PR -56;077888873;05/05/2000 21:00:00;0
b28e5b6d-6406-4373-a06d-9dad264a08bc;Dave;Wikc;2367;PR -96;077888872;05/05/1999 21:00:00;0
b633ceb5-b0fd-40af-91df-87a8013f1759;Emily;Wick;6865;PR -56;077888871;05/05/1998 21:00:00;0
0c49bbe5-1de8-44c2-946e-12f8345123d7;Павел;Коэльо;6666;111986;77956730;08/11/1990 21:00:00;5
6aec8623-ad85-4baa-9da7-9c765760b0c7;John;Johanson;356223435;I-ПР;66748563;05/04/1998 21:00:00;0
6045e545-0d1d-42aa-b789-879cae662bf9;Павел;Коэльо;9997;111666;77956730;08/11/1990 21:00:00;5
8f4e4e0c-84c8-4888-aef3-5278a7f75571;Иван;Иванов;4444;333986;77956730;08/11/1990 21:00:00;5
0e6fc950-6a42-4ffe-a12f-7549ce3ac19b;StreamTest;Wick;2367;PR -56;077888876;05/05/2000 18:00:00;0
ba2dbe60-0200-4696-9dd4-c8718fa2dde6;StreamTest;Dave;2367;PR -96;077888875;05/05/2000 18:00:00;0
f38a5416-d11d-4f31-86de-0014197137c7;StreamTest;Sames;2367;PR -56;077888874;05/05/2000 18:00:00;0
